Pope,0.028,32.784,32.784
Floyd,0.027,32.811,32.811
Osborne,0.027,32.838,32.838
Paul,0.027,32.865,32.865
Mccarthy,0.027,32.892,32.892
Guerrero,0.027,32.919,32.919
Lindsey,0.027,32.946,32.946
Estrada,0.027,32.973,32.973
Sandoval,0.027,33,33.000
Gibbs,0.027,33.027,33.027
Tyler,0.027,33.054,33.054
Gross,0.027,33.081,33.081
Fitzgerald,0.027,33.108,33.108
Stokes,0.027,33.135,33.135
Doyle,0.027,33.162,33.162
Sherman,0.027,33.189,33.189
Saunders,0.027,33.216,33.216
Wise,0.027,33.243,33.243
Colon,0.027,33.27,33.270
Gill,0.027,33.297,33.297
Alvarado,0.027,33.324,33.324
Greer,0.026,33.35,33.350
Padilla,0.026,33.376,33.376
Simon,0.026,33.402,33.402
Waters,0.026,33.428,33.428
Nunez,0.026,33.454,33.454
Ballard,0.026,33.48,33.480
Schwartz,0.026,33.506,33.506
Mcbride,0.026,33.532,33.532
Houston,0.026,33.558,33.558
Christensen,0.026,33.584,33.584
Klein,0.026,33.61,33.610
Pratt,0.026,33.636,33.636
Briggs,0.026,33.662,33.662
Parsons,0.026,33.688,33.688
Mclaughlin,0.026,33.714,33.714
Zimmerman,0.026,33.74,33.740
French,0.026,33.766,33.766
Buchanan,0.026,33.792,33.792
Moran,0.026,33.818,33.818
Copeland,0.025,33.843,33.843
Roy,0.025,33.868,33.868
Pittman,0.025,33.893,33.893
Brady,0.025,33.918,33.918
Mccormick,0.025,33.943,33.943
Holloway,0.025,33.968,33.968
Brock,0.025,33.993,33.993
Poole,0.025,34.018,34.018
Frank,0.025,34.043,34.043
Logan,0.025,34.068,34.068
Owen,0.025,34.093,34.093
Bass,0.025,34.118,34.118
Marsh,0.025,34.143,34.143
Drake,0.025,34.168,34.168
Wong,0.025,34.193,34.193
Jefferson,0.025,34.218,34.218
Park,0.025,34.243,34.243
Morton,0.025,34.268,34.268
Abbott,0.025,34.293,34.293
Sparks,0.025,34.318,34.318
Patrick,0.024,34.342,34.342
Norton,0.024,34.366,34.366
Huff,0.024,34.39,34.390
Clayton,0.024,34.414,34.414
Massey,0.024,34.438,34.438
Lloyd,0.024,34.462,34.462
Figueroa,0.024,34.486,34.486
Carson,0.024,34.51,34.510
Bowers,0.024,34.534,34.534
Roberson,0.024,34.558,34.558
Barton,0.024,34.582,34.582
Tran,0.024,34.606,34.606
Lamb,0.024,34.63,34.630
Harrington,0.024,34.654,34.654
Casey,0.024,34.678,34.678
Boone,0.024,34.702,34.702
Cortez,0.024,34.726,34.726
Clarke,0.024,34.75,34.750
Mathis,0.024,34.774,34.774
Singleton,0.024,34.798,34.798
Wilkins,0.024,34.822,34.822
Cain,0.024,34.846,34.846
Bryan,0.024,34.87,34.870
Underwood,0.024,34.894,34.894
Hogan,0.024,34.918,34.918
Mckenzie,0.023,34.941,34.941
Collier,0.023,34.964,34.964
Luna,0.023,34.987,34.987
Phelps,0.023,35.01,35.010
Mcguire,0.023,35.033,35.033
Allison,0.023,35.056,35.056
Bridges,0.023,35.079,35.079
Wilkerson,0.023,35.102,35.102
Nash,0.023,35.125,35.125
Summers,0.023,35.148,35.148
Atkins,0.023,35.171,35.171
Wilcox,0.023,35.194,35.194
Pitts,0.023,35.217,35.217
Conley,0.023,35.24,35.240
Marquez,0.023,35.263,35.263
Burnett,0.023,35.286,35.286
Richard,0.023,35.309,35.309
Cochran,0.023,35.332,35.332
Chase,0.023,35.355,35.355
Davenport,0.023,35.378,35.378
Hood,0.023,35.401,35.401
Gates,0.023,35.424,35.424
Clay,0.023,35.447,35.447
Ayala,0.023,35.47,35.470
Sawyer,0.023,35.493,35.493
Roman,0.023,35.516,35.516
Vazquez,0.023,35.539,35.539
Dickerson,0.023,35.562,35.562
Hodge,0.022,35.584,35.584
Acosta,0.022,35.606,35.606
Flynn,0.022,35.628,35.628
Espinoza,0.022,35.65,35.650
Nicholson,0.022,35.672,35.672
Monroe,0.022,35.694,35.694
Wolf,0.022,35.716,35.716
Morrow,0.022,35.738,35.738
Kirk,0.022,35.76,35.760
Randall,0.022,35.782,35.782
Anthony,0.022,35.804,35.804
Whitaker,0.022,35.826,35.826
Oconnor,0.022,35.848,35.848
Skinner,0.022,35.87,35.870
Ware,0.022,35.892,35.892
Molina,0.022,35.914,35.914
Kirby,0.022,35.936,35.936
Huffman,0.022,35.958,35.958
Bradford,0.022,35.98,35.980
Charles,0.022,36.002,36.002
Gilmore,0.022,36.024,36.024
Dominguez,0.022,36.046,36.046
Oneal,0.022,36.068,36.068
Bruce,0.022,36.09,36.090
Lang,0.021,36.111,36.111
Combs,0.021,36.132,36.132
Kramer,0.021,36.153,36.153
Heath,0.021,36.174,36.174
Hancock,0.021,36.195,36.195
Gallagher,0.021,36.216,36.216
Gaines,0.021,36.237,36.237
Shaffer,0.021,36.258,36.258
Short,0.021,36.279,36.279
Wiggins,0.021,36.3,36.300
Mathews,0.021,36.321,36.321
Mcclain,0.021,36.342,36.342
Fischer,0.021,36.363,36.363
Wall,0.021,36.384,36.384
Small,0.021,36.405,36.405
Melton,0.021,36.426,36.426
Hensley,0.021,36.447,36.447
Bond,0.021,36.468,36.468
Dyer,0.021,36.489,36.489
Cameron,0.021,36.51,36.510
Grimes,0.021,36.531,36.531
Contreras,0.021,36.552,36.552
Christian,0.021,36.573,36.573
Wyatt,0.021,36.594,36.594
Baxter,0.021,36.615,36.615
Snow,0.021,36.636,36.636
Mosley,0.021,36.657,36.657
Shepherd,0.021,36.678,36.678
